hour,mean_action,num_active
0,0.5464888215065002,26
0,0.5056706070899963,28
0,0.5073496103286743,28
0,0.5088339447975159,28
0,0.5291552543640137,27
0,0.5129521489143372,28
0,0.5152711272239685,28
0,0.5355651378631592,27
0,0.5378962159156799,27
0,0.5401139855384827,27
0,0.5628505349159241,26
0,0.5661086440086365,26
1,0.5691171288490295,26
1,0.5718067288398743,26
1,0.5743654370307922,26
1,0.5767940282821655,26
1,0.5790938138961792,26
1,0.5812661051750183,26
1,0.5833126306533813,26
1,0.5852353572845459,26
1,0.5870363712310791,26
1,0.5887179374694824,26
1,0.5902823209762573,26
1,0.59173184633255,26
2,0.5930688381195068,26
2,0.572783887386322,27
2,0.573989987373352,27
2,0.5750969648361206,27
2,0.5761062502861023,27
2,0.5770190358161926,27
2,0.5778363347053528,27
2,0.5792170763015747,27
2,0.5808291435241699,27
2,0.5823615193367004,27
2,0.5837112069129944,27
2,0.5646411180496216,28
3,0.5663123726844788,28
3,0.5675119161605835,28
3,0.5656509399414062,28
3,0.5665258169174194,28
3,0.5481848120689392,29
3,0.5490328669548035,29
3,0.5318933129310608,30
3,0.5328966975212097,30
3,0.5338007807731628,30
3,0.5345173478126526,30
3,0.5352115631103516,30
3,0.5357922911643982,30
4,0.5362547636032104,30
4,0.5365183353424072,30
4,0.5367357730865479,30
4,0.5368232131004333,30
4,0.5367081761360168,30
4,0.5365312099456787,30
4,0.5548736453056335,29
4,0.5551733374595642,29
4,0.5548057556152344,29
4,0.5542345643043518,29
4,0.5533902645111084,29
4,0.5346053242683411,30
5,0.5343024134635925,30
5,0.5337085127830505,30
5,0.5330411791801453,30
5,0.532089352607727,30
5,0.5310585498809814,30
5,0.5298430919647217,30
5,0.5283514857292175,30
5,0.5267704129219055,30
5,0.5246754884719849,30
5,0.5157544612884521,30
5,0.5126884579658508,30
5,0.49335160851478577,31
6,0.5123589038848877,29
6,0.5094905495643616,29
6,0.5064199566841125,29
6,0.503146231174469,29
6,0.4996686279773712,29
6,0.5134881734848022,28
6,0.5096474289894104,28
6,0.5241317749023438,27
6,0.5022868514060974,28
6,0.49870172142982483,28
6,0.47885236144065857,29
6,0.47570016980171204,29
7,0.4891331195831299,28
7,0.48616814613342285,28
7,0.5013003349304199,27
7,0.498742938041687,27
7,0.4960119128227234,27
7,0.4931104779243469,27
7,0.4900418817996979,27
7,0.4868098795413971,27
7,0.4671228229999542,28
7,0.48156851530075073,27
7,0.46262434124946594,28
7,0.460394948720932,28
8,0.45802077651023865,28
8,0.47251197695732117,27
8,0.4708595871925354,27
8,0.4690667688846588,27
8,0.45118334889411926,28
8,0.46634864807128906,27
8,0.4652508497238159,27
8,0.4637305736541748,27
8,0.47984883189201355,26
8,0.47942081093788147,26
8,0.4789038896560669,26
8,0.4978480935096741,25
9,0.49807479977607727,25
9,0.4981932044029236,25
9,0.47945448756217957,26
9,0.48045918345451355,26
9,0.48137128353118896,26
9,0.48218998312950134,26
9,0.48291414976119995,26
9,0.4835425913333893,26
9,0.4840739965438843,26
9,0.4670690596103668,27
9,0.48632633686065674,26
9,0.4883556663990021,26
10,0.49030396342277527,26
10,0.4921685457229614,26
10,0.49394649267196655,26
10,0.4788481295108795,27
10,0.4822505712509155,27
10,0.4860154986381531,27
10,0.4910416901111603,27
10,0.49581730365753174,27
10,0.5005314350128174,27
10,0.5051763653755188,27
10,0.5097437500953674,27
10,0.5138993859291077,27
11,0.49887317419052124,28
11,0.5017510652542114,28
11,0.5045204162597656,28
11,0.5252357721328735,27
11,0.5277144312858582,27
11,0.529948890209198,27
11,0.5320557951927185,27
11,0.5340330004692078,27
11,0.535844624042511,27
11,0.5264934301376343,28
11,0.545427143573761,27
11,0.5451793074607849,27
12,0.5446840524673462,27
12,0.5638024210929871,26
12,0.5602225661277771,26
12,0.5203023552894592,28
12,0.5035465359687805,29
12,0.5271570682525635,28
12,0.5258247256278992,28
12,0.5056272745132446,29
12,0.5177688598632812,28
12,0.5147883892059326,28
12,0.47239601612091064,30
12,0.46980568766593933,30
13,0.46583324670791626,30
13,0.4797119200229645,29
13,0.46969911456108093,29
13,0.46041029691696167,29
13,0.4327809810638428,29
13,0.42842748761177063,29
13,0.40252307057380676,28
13,0.39349499344825745,29
13,0.3966861963272095,29
13,0.3992684483528137,29
13,0.39275720715522766,28
13,0.37079381942749023,28
14,0.3830806016921997,25
14,0.32276850938796997,28
14,0.31413745880126953,28
14,0.27677664160728455,31
14,0.27460920810699463,31
14,0.3042471706867218,29
14,0.3261960446834564,27
14,0.3549317419528961,25
14,0.35878536105155945,25
14,0.3626496195793152,25
14,0.3662264347076416,25
14,0.36970382928848267,25
15,0.38826701045036316,24
15,0.391072154045105,24
15,0.37808653712272644,25
15,0.38124316930770874,25
15,0.3840382397174835,25
15,0.38707756996154785,25
15,0.3889009356498718,25
15,0.3928433954715729,25
15,0.39508339762687683,25
15,0.39732253551483154,25
15,0.3992815315723419,25
15,0.400523841381073,25
16,0.3874513804912567,26
16,0.4051016569137573,25
16,0.3923755884170532,26
16,0.4103717505931854,25
16,0.41320013999938965,25
16,0.43349364399909973,24
16,0.4369152784347534,24
16,0.4401873052120209,24
16,0.4101830720901489,26
16,0.4135325253009796,26
16,0.4169037640094757,26
16,0.4202408790588379,26
17,0.423429936170578,26
17,0.426810085773468,26
17,0.43015241622924805,26
17,0.43374988436698914,26
17,0.4360998868942261,26
17,0.4383949041366577,26
17,0.41045019030570984,28
17,0.41346240043640137,28
17,0.41679614782333374,28
17,0.41990751028060913,28
17,0.41990309953689575,28
17,0.4076659679412842,29
18,0.42551296949386597,28
18,0.4281900227069855,28
18,0.4170916974544525,29
18,0.4353417754173279,28
18,0.4395579397678375,28
18,0.4461565911769867,28
18,0.44934341311454773,28
18,0.4674386978149414,27
18,0.4717431664466858,27
18,0.47498518228530884,27
18,0.47828277945518494,27
18,0.481693834066391,27
19,0.4670841693878174,28
19,0.48800235986709595,27
19,0.4909045994281769,27
19,0.49890097975730896,27
19,0.500938892364502,27
19,0.5030232667922974,27
19,0.47151893377304077,29
19,0.47375428676605225,29
